contract_id,source_id,release_name,series_identifier,definition,unit,frequency,publication_calendar,available_history,revision_policy,intended_model_use,known_limitations,official_source_url,machine_access_url,value_classification,aggregation_level,required,expected_null_policy
H15_DGS3MO,frb_h15,H.15 Selected Interest Rates,DGS3MO,"Market yield on U.S. Treasury securities at 3-month constant maturity, quoted on an investment basis.",Percent per annum,Business daily,Daily Monday-Friday at 4:15 p.m. ET; no release on holidays or Board-closure days.,1981-09-01 to present,Preserve retrieval date and source vintage. Revisions or corrections must create a new raw-data version; do not overwrite a vintage used in a completed model run.,"Treasury curve node for discounting, parallel/nonparallel yield shocks, and 3-month liquidation-value stress.",Nominal constant-maturity yield is an interpolated par yield based on Treasury market inputs; it is not an executable transaction rate. Missing dates must follow the official business calendar.,https://fred.stlouisfed.org/series/DGS3MO,https://fred.stlouisfed.org/graph/fredgraph.csv?id=DGS3MO,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
H15_DGS6MO,frb_h15,H.15 Selected Interest Rates,DGS6MO,"Market yield on U.S. Treasury securities at 6-month constant maturity, quoted on an investment basis.",Percent per annum,Business daily,Daily Monday-Friday at 4:15 p.m. ET; no release on holidays or Board-closure days.,1981-09-01 to present,Preserve retrieval date and source vintage. Revisions or corrections must create a new raw-data version; do not overwrite a vintage used in a completed model run.,"Treasury curve node for discounting, parallel/nonparallel yield shocks, and 6-month liquidation-value stress.",Nominal constant-maturity yield is an interpolated par yield based on Treasury market inputs; it is not an executable transaction rate. Missing dates must follow the official business calendar.,https://fred.stlouisfed.org/series/DGS6MO,https://fred.stlouisfed.org/graph/fredgraph.csv?id=DGS6MO,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
H15_DGS1,frb_h15,H.15 Selected Interest Rates,DGS1,"Market yield on U.S. Treasury securities at 1-year constant maturity, quoted on an investment basis.",Percent per annum,Business daily,Daily Monday-Friday at 4:15 p.m. ET; no release on holidays or Board-closure days.,1962-01-02 to present,Preserve retrieval date and source vintage. Revisions or corrections must create a new raw-data version; do not overwrite a vintage used in a completed model run.,"Treasury curve node for discounting, parallel/nonparallel yield shocks, and 1-year liquidation-value stress.",Nominal constant-maturity yield is an interpolated par yield based on Treasury market inputs; it is not an executable transaction rate. Missing dates must follow the official business calendar.,https://fred.stlouisfed.org/series/DGS1,https://fred.stlouisfed.org/graph/fredgraph.csv?id=DGS1,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
H15_DGS2,frb_h15,H.15 Selected Interest Rates,DGS2,"Market yield on U.S. Treasury securities at 2-year constant maturity, quoted on an investment basis.",Percent per annum,Business daily,Daily Monday-Friday at 4:15 p.m. ET; no release on holidays or Board-closure days.,1976-06-01 to present,Preserve retrieval date and source vintage. Revisions or corrections must create a new raw-data version; do not overwrite a vintage used in a completed model run.,"Treasury curve node for discounting, parallel/nonparallel yield shocks, and 2-year liquidation-value stress.",Nominal constant-maturity yield is an interpolated par yield based on Treasury market inputs; it is not an executable transaction rate. Missing dates must follow the official business calendar.,https://fred.stlouisfed.org/series/DGS2,https://fred.stlouisfed.org/graph/fredgraph.csv?id=DGS2,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
H15_DGS3,frb_h15,H.15 Selected Interest Rates,DGS3,"Market yield on U.S. Treasury securities at 3-year constant maturity, quoted on an investment basis.",Percent per annum,Business daily,Daily Monday-Friday at 4:15 p.m. ET; no release on holidays or Board-closure days.,1962-01-02 to present,Preserve retrieval date and source vintage. Revisions or corrections must create a new raw-data version; do not overwrite a vintage used in a completed model run.,"Treasury curve node for discounting, parallel/nonparallel yield shocks, and 3-year liquidation-value stress.",Nominal constant-maturity yield is an interpolated par yield based on Treasury market inputs; it is not an executable transaction rate. Missing dates must follow the official business calendar.,https://fred.stlouisfed.org/series/DGS3,https://fred.stlouisfed.org/graph/fredgraph.csv?id=DGS3,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
H15_DGS5,frb_h15,H.15 Selected Interest Rates,DGS5,"Market yield on U.S. Treasury securities at 5-year constant maturity, quoted on an investment basis.",Percent per annum,Business daily,Daily Monday-Friday at 4:15 p.m. ET; no release on holidays or Board-closure days.,1962-01-02 to present,Preserve retrieval date and source vintage. Revisions or corrections must create a new raw-data version; do not overwrite a vintage used in a completed model run.,"Treasury curve node for discounting, parallel/nonparallel yield shocks, and 5-year liquidation-value stress.",Nominal constant-maturity yield is an interpolated par yield based on Treasury market inputs; it is not an executable transaction rate. Missing dates must follow the official business calendar.,https://fred.stlouisfed.org/series/DGS5,https://fred.stlouisfed.org/graph/fredgraph.csv?id=DGS5,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
H15_DGS7,frb_h15,H.15 Selected Interest Rates,DGS7,"Market yield on U.S. Treasury securities at 7-year constant maturity, quoted on an investment basis.",Percent per annum,Business daily,Daily Monday-Friday at 4:15 p.m. ET; no release on holidays or Board-closure days.,1969-07-01 to present,Preserve retrieval date and source vintage. Revisions or corrections must create a new raw-data version; do not overwrite a vintage used in a completed model run.,"Treasury curve node for discounting, parallel/nonparallel yield shocks, and 7-year liquidation-value stress.",Nominal constant-maturity yield is an interpolated par yield based on Treasury market inputs; it is not an executable transaction rate. Missing dates must follow the official business calendar.,https://fred.stlouisfed.org/series/DGS7,https://fred.stlouisfed.org/graph/fredgraph.csv?id=DGS7,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
H15_DGS10,frb_h15,H.15 Selected Interest Rates,DGS10,"Market yield on U.S. Treasury securities at 10-year constant maturity, quoted on an investment basis.",Percent per annum,Business daily,Daily Monday-Friday at 4:15 p.m. ET; no release on holidays or Board-closure days.,1962-01-02 to present,Preserve retrieval date and source vintage. Revisions or corrections must create a new raw-data version; do not overwrite a vintage used in a completed model run.,"Treasury curve node for discounting, parallel/nonparallel yield shocks, and 10-year liquidation-value stress.",Nominal constant-maturity yield is an interpolated par yield based on Treasury market inputs; it is not an executable transaction rate. Missing dates must follow the official business calendar.,https://fred.stlouisfed.org/series/DGS10,https://fred.stlouisfed.org/graph/fredgraph.csv?id=DGS10,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
H15_DGS20,frb_h15,H.15 Selected Interest Rates,DGS20,"Market yield on U.S. Treasury securities at 20-year constant maturity, quoted on an investment basis.",Percent per annum,Business daily,Daily Monday-Friday at 4:15 p.m. ET; no release on holidays or Board-closure days.,"1962-01-02 to present, with historical discontinuity/gaps",Preserve retrieval date and source vintage. Revisions or corrections must create a new raw-data version; do not overwrite a vintage used in a completed model run.,"Treasury curve node for discounting, parallel/nonparallel yield shocks, and 20-year liquidation-value stress.",Nominal constant-maturity yield is an interpolated par yield based on Treasury market inputs; it is not an executable transaction rate. Missing dates must follow the official business calendar.,https://fred.stlouisfed.org/series/DGS20,https://fred.stlouisfed.org/graph/fredgraph.csv?id=DGS20,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
H15_DGS30,frb_h15,H.15 Selected Interest Rates,DGS30,"Market yield on U.S. Treasury securities at 30-year constant maturity, quoted on an investment basis.",Percent per annum,Business daily,Daily Monday-Friday at 4:15 p.m. ET; no release on holidays or Board-closure days.,"1977-02-15 to present, with historical discontinuity/gaps",Preserve retrieval date and source vintage. Revisions or corrections must create a new raw-data version; do not overwrite a vintage used in a completed model run.,"Treasury curve node for discounting, parallel/nonparallel yield shocks, and 30-year liquidation-value stress.",Nominal constant-maturity yield is an interpolated par yield based on Treasury market inputs; it is not an executable transaction rate. Missing dates must follow the official business calendar.,https://fred.stlouisfed.org/series/DGS30,https://fred.stlouisfed.org/graph/fredgraph.csv?id=DGS30,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
H41_WRBWFRBL,frb_h41,H.4.1 Factors Affecting Reserve Balances,WRBWFRBL,Reserve balances with Federal Reserve Banks: Wednesday level.,"USD millions, not seasonally adjusted","Weekly, as of Wednesday","Weekly each Thursday, generally 4:30 p.m. ET; may shift to the next business day for a federal holiday.",2002-12-18 to present for the selected current-format series.,"Retain immutable weekly vintages. Monitor H.4.1 announcements for corrections, reclassifications, facility additions/removals, and table-definition changes.",Reserve-availability state variable and systemwide liquidity-regime indicator.,Systemwide Federal Reserve balance-sheet aggregate; weekly and not FICC-specific. Accounting classifications and extraordinary facilities may create structural breaks.,https://fred.stlouisfed.org/series/WRBWFRBL,https://fred.stlouisfed.org/graph/fredgraph.csv?id=WRBWFRBL,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
H41_WRESBAL,frb_h41,H.4.1 Factors Affecting Reserve Balances,WRESBAL,Reserve balances with Federal Reserve Banks: week average.,"USD millions, not seasonally adjusted","Weekly, as of Wednesday","Weekly each Thursday, generally 4:30 p.m. ET; may shift to the next business day for a federal holiday.",2002-12-18 to present for the selected current-format series.,"Retain immutable weekly vintages. Monitor H.4.1 announcements for corrections, reclassifications, facility additions/removals, and table-definition changes.",Smoothed reserve-availability state variable for weekly alignment and regime classification.,Systemwide Federal Reserve balance-sheet aggregate; weekly and not FICC-specific. Accounting classifications and extraordinary facilities may create structural breaks.,https://fred.stlouisfed.org/series/WRESBAL,https://fred.stlouisfed.org/graph/fredgraph.csv?id=WRESBAL,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
H41_WALCL,frb_h41,H.4.1 Factors Affecting Reserve Balances,WALCL,"Total assets of the Federal Reserve, less eliminations from consolidation: Wednesday level.","USD millions, not seasonally adjusted","Weekly, as of Wednesday","Weekly each Thursday, generally 4:30 p.m. ET; may shift to the next business day for a federal holiday.",2002-12-18 to present for the selected current-format series.,"Retain immutable weekly vintages. Monitor H.4.1 announcements for corrections, reclassifications, facility additions/removals, and table-definition changes.",Federal Reserve balance-sheet size and broad liquidity-condition indicator.,Systemwide Federal Reserve balance-sheet aggregate; weekly and not FICC-specific. Accounting classifications and extraordinary facilities may create structural breaks.,https://fred.stlouisfed.org/series/WALCL,https://fred.stlouisfed.org/graph/fredgraph.csv?id=WALCL,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
H41_TREAST,frb_h41,H.4.1 Factors Affecting Reserve Balances,TREAST,U.S. Treasury securities held outright by the Federal Reserve: Wednesday level.,"USD millions, not seasonally adjusted","Weekly, as of Wednesday","Weekly each Thursday, generally 4:30 p.m. ET; may shift to the next business day for a federal holiday.",2002-12-18 to present for the selected current-format series.,"Retain immutable weekly vintages. Monitor H.4.1 announcements for corrections, reclassifications, facility additions/removals, and table-definition changes.",SOMA Treasury-holdings state variable for market-float and liquidity-regime scenarios.,Systemwide Federal Reserve balance-sheet aggregate; weekly and not FICC-specific. Accounting classifications and extraordinary facilities may create structural breaks.,https://fred.stlouisfed.org/series/TREAST,https://fred.stlouisfed.org/graph/fredgraph.csv?id=TREAST,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
H41_WLRRAL,frb_h41,H.4.1 Factors Affecting Reserve Balances,WLRRAL,Federal Reserve reverse repurchase agreement liabilities: Wednesday level.,"USD millions, not seasonally adjusted","Weekly, as of Wednesday","Weekly each Thursday, generally 4:30 p.m. ET; may shift to the next business day for a federal holiday.",2002-12-18 to present for the selected current-format series.,"Retain immutable weekly vintages. Monitor H.4.1 announcements for corrections, reclassifications, facility additions/removals, and table-definition changes.",Reserve-drain and money-market-liquidity state variable.,Systemwide Federal Reserve balance-sheet aggregate; weekly and not FICC-specific. Accounting classifications and extraordinary facilities may create structural breaks.,https://fred.stlouisfed.org/series/WLRRAL,https://fred.stlouisfed.org/graph/fredgraph.csv?id=WLRRAL,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
H41_WDTGAL,frb_h41,H.4.1 Factors Affecting Reserve Balances,WDTGAL,U.S. Treasury General Account deposits at Federal Reserve Banks: Wednesday level.,"USD millions, not seasonally adjusted","Weekly, as of Wednesday","Weekly each Thursday, generally 4:30 p.m. ET; may shift to the next business day for a federal holiday.",2002-12-18 to present for the selected current-format series.,"Retain immutable weekly vintages. Monitor H.4.1 announcements for corrections, reclassifications, facility additions/removals, and table-definition changes.",Treasury cash-balance drain on reserve liquidity and short-horizon system-liquidity scenario input.,Systemwide Federal Reserve balance-sheet aggregate; weekly and not FICC-specific. Accounting classifications and extraordinary facilities may create structural breaks.,https://fred.stlouisfed.org/series/WDTGAL,https://fred.stlouisfed.org/graph/fredgraph.csv?id=WDTGAL,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
H41_WORAL,frb_h41,H.4.1 Factors Affecting Reserve Balances,WORAL,Federal Reserve repurchase agreement assets: Wednesday level.,"USD millions, not seasonally adjusted","Weekly, as of Wednesday","Weekly each Thursday, generally 4:30 p.m. ET; may shift to the next business day for a federal holiday.",2002-12-18 to present for the selected current-format series.,"Retain immutable weekly vintages. Monitor H.4.1 announcements for corrections, reclassifications, facility additions/removals, and table-definition changes.",Temporary reserve-supply and secured-market-support state variable.,Systemwide Federal Reserve balance-sheet aggregate; weekly and not FICC-specific. Accounting classifications and extraordinary facilities may create structural breaks.,https://fred.stlouisfed.org/series/WORAL,https://fred.stlouisfed.org/graph/fredgraph.csv?id=WORAL,observed,official aggregate,True,Reject unexpected nulls after source-calendar alignment.
